question,answer
How To Search For Unclaimed Life Insurance Policy? ,"That is a great question ! There are several good ways - the first being to see -LRB- if you have access to the deceased 's financial records -RRB- if there have been regular payments to a financial company or institution . That may bea sign of a premium payment . Contact the deceased 's employer , and see if there were records of a policy through the benefits package ; Contact your State 's department of unclaimed property , and it will cost you a few bucks -LRB- $ 70 ? -RRB- but you can contact the Medical Information Bureau -LRB- MIB -RRB- they have a search engine that can look for your missing policy , if it exists . I hope that helps , if you need more , please feel free to contact me , okay ? Thanks for asking ! "
Who Sells Long Term Care Insurance In Missouri? ,"To find who sells long term care insurance in Missouri , you can put in those words on an internet search engine , and a number of good choices will come up in your search results . There are Long Term Care brokers , or else agencies that sell Health or Life insurance also can be contacted to see if they sell Long Term Care Insurance . Many of the contributors to this website sell LTCI , including our agency , and would be happy to assist you . "
Can My Employer Take Out Life Insurance On Me? ,"Yep . Are you a key employee ? Perhaps you are an executive with a high level of responsibility . Perhaps you are a technician with specialized expertise . Perhaps you are a sales person who brings in a significant amount of revenue . In all these cases , your loss would probably create big problems for your employer . Employees might lose morale . Clients might fear an interruption in service . Vendors might worry about getting paid . But if your employer had life insurance on you , then they would collect sufficient money to keep moving forward . To get everybody paid . To continue service . To hire a capable replacement . Many businesses fall apart because the key person tragically dies , and they can not recoup from his or her loss . However : with sufficient life insurance coverage , the show can and will go on . "
How Long Does It Take To Get Health Insurance? ,"The answer will depend upon whether you are talking about group health insurance or individual health insurance . Employers have a certain degree of flexibility in establishing a waiting period before a new hire can become eligible to enroll in the company 's group plan . Under the provisions of the Affordable Care Act -LRB- ObamaCare -RRB- now in effect this waiting period should not exceed 90 calendar days from your date of hire . So , this establishes a maximum waiting period under an employer based plan but the employer can choose to have a shorter waiting period . If you are applying for individual health insurance during the open enrollment period or following a change of life status event it will depend upon when you have submitted your enrollment form . If your enrollment form is received on or before the 15th of the month your coverage should go into effect on the first of the next month -LRB- e.g. - February 10 submission would be for a March 1st effective date -RRB- . If your enrollment form is received after the 15th of the month your coverage would become effective on the first of the following month -LRB- e.g. - February 18th submission would be for an April 1st effective date -RRB- . "
Why Create An Irrevocable Life Insurance Trust? ,"An irrevocable life insurance trust -LRB- ILIT -RRB- is a legal document set up to distribute life insurance proceeds in a specific manner , depending on how the trust is designed . ILITs receive special tax consideration from the IRS that is not given to life insurance policies that would otherwise be owned by a natural person or revocable trust . Since the trust is irrevocable , the terms of the trust can not be changed -LRB- think of it like putting the contents in a vault and throwing away the key - it ca n't be opened til the insured dies -RRB- . An ILIT can offer many substantial advantages to protect life insurance proceeds . It can also help you distribute your property to your children at the least possible cost . If you have a taxable estate , you have a choice - pay the tax with your own money or pay only a fraction of the tax and use someone else 's money to pay the rest . If you want to use someone elses money to pay the tax , you can buy a life insurance policy . The type of life insurance policy will depend on the specific circumstances , but is usually a survivorship universal life policy if used for estate tax purposes . The life insurance policy may be secured for pennies on each dollar of tax that you owe . By putting the life insurance policy in an irrevocable trust , the proceeds become available to pay taxes due upon death . A life insurance policy that you purchase will require the same premium whether you put the policy in the trust or keep it outside of the trust . If you put the policy in the trust , the death benefit is not included in the calculation of the size of the estate . This is a huge tax savings , especially if the proceeds are several million dollars . If you keep the policy outside of the trust -LRB- e.g. , as owned by a natural person or a revocable trust -RRB- , the proceeds will be included in calculating the size of the estate potentially increasing the size of the estate by a big margin , and you may therefore have to pay much higher estate taxes before any of the property can be distributed to your children or other beneficiaries . "
What Is Guardian Life Insurance Company? ,"Guardian Life Insurance Company of America is a mutual company based in New York City , New York . They also have regional offices all across the northern states , from Washington to New York . Rated A + + by AM Best , Guardian Life Insurance Company has several subsidiaries , including Berkshire Life Insurance Company of America . "
Is Life Insurance Mandatory? ,Is life insurance manditory ? Not in the same sense that health insurance will be next year . You will not be required to carry life insurance or face tax fines if you do n't . What this question brings up is should you carry life insurance ? My answer would be yes if there 's someone who cares enough about you to deal with your things when you 're gone . Do n't compound your loss to them . 
Does Life Insurance Require A Credit Check? ,"Not all life insurance companies require a credit check , but it is a present trend in the industry . Youre ability to pay bills on time may reflect your ability to pay premiums on time . Some products , like guaranteed universal life may be time sensitive with scheduled premium events . Its important to know youre the companys procedures if your credit score is questionable . "
Is It Legal To Require Renters Insurance In North Dakota? ,A landlord at their discretion can require renters insurance as part of the rental agreement . If you do not wish to purchase renters insurance you have the right to look for housing from a landlord who does not have this requirement . The landlord is not breaking any laws by making renters insurance a requirement of the rental agreement . 
How Much Does Universal Life Insurance Cost? ,"The answer to this question is the same as for all types of life insurance . It depends on the amount of coverage , the age and rate class of the applicant , and what you want the policy to do . The unique nature of universal life allows for a range of premium , which provides a bit of flexibility not easily duplicated in other types of permanent life insurance . "
Is Medicare Part C The Same As Medigap? ,"Medigap and Part C are not the same . Medigap is supplemental coverage to your Original Medicare Part A and B . You do n't have to buy a Medigap Plan , it is optional . Many people , however , use the Medigap Policy to help cover the 20 % of Medicare approved costs not covered by Part A and B. Medicare Supplement insurance is private insurance in which you pay a premium every month . You are allowed to visit any provider who accepts Medicare . Part C is called a Medicare Advantage Plan . It acts like an HMO or PPO , so you are restricted to using network doctors . This type of Plan combines Part A , Part B , and usually Part D -LRB- drug coverage -RRB- . It 's important to note , if you join a Medicare Advantage Plan , you do n't need and ca n't be sold a Medigap Policy . In other words , you ca n't buy a Medigap Policy to supplement your Part C -LRB- Medicare Advantage Plan -RRB- . Thank you for taking the time to read my reply . Please let me know if I can be of further assistance . "
Does Homeowners Insurance Cover Sewer Line Replacement? ,Usually no . . however some insurance companies will allow you to add a `` service line '' endorsement that could provide coverage for a sewer line . Typically it will only cover the portion that runs through your property . 
How Many Annuities Can I Have? ,"The simple answer is yes with this short caveat to follow : A tax deferred annuity is a mortality insurance product . Each annuity company has limitations on the guaranteed death benefit risk theyre willing to underwrite . So , several companies could each issue policies up to risk limitations on one life . "
Am I Covered On My Girlfriend's Auto Insurance Policy? ,"You should be added as a driver on the policy . The insurance companies require that all household members need to be added to the policy . The agent is technically correct in saying that you would be covered as long as you have permission to drive the vehicle , but by not informing the insurance company that you are a driver in the household , he is knowingly committing insurance fraud . Adding you as a driver will likely cause the premium to increase , mainly due to the fact that you have no prior insurance . Even so , it is in your best interest to be named on that policy . This will also you help you if you are ever looking for a new insurance company in the future as you will be able to show that you carried prior insurance . I hope this answered your questions and good luck ! "
How Do You Say No To A Life Insurance Salesman? ,"Do not beafraidto tell any insurance salesman , No ! Honestly almost all agents will appreciate you telling them no , rather than avoiding them . If they give you a hard time just let them know you were testing them to see their true character , and you are glad you told them no . -LRB- wink wink -RRB- "
How Long Does It Take For Disability Insurance To Kick In? ,I believe you are asking when the disability insurance benefits begin . All disability policies have a waiting period called the elimination period . This can be found on the declaration page in your policy . The elimination period is the period of time between a medical diagnosis of the disability and when benefits begin to pay to the insured . The most common elimination periods are 30-60-90-180-360 days . 
Who Has The Best Permanent Life Insurance? ,"There are different types of permanent insurance : Whole Life , Universal Life , Indexed Universal Life , and variable products . Then there are variations to each of these . Every product is designed to work best for a specific type of person , and specific purposes . The best way to know which is the best for you is to contact an agent , explain your goals for your policy , tell them your health details , and let them shop for you . You are going to have this policy for the rest of your life . Consult a professional and get one that accomplishes your goals at a cost that you can afford . "
Is Life Insurance An Indemnity Policy? ,"No , life insurance is not an indemnity policy . The concept of indemnity insurance does n't apply to life insurance . Indemnity policies pay for actual economic loss up to a stated maximum in the policy . The claim needs to be proven by the policy owner . In life insurance , the amount of the actual economic loss is not relevant . When the life insured dies , the insurer is required to pay the total death benefit amount specified in the policy . "
What Are The Functions Of Having Disability Insurance? ,"As Tim so aptly described , the function of Disability Insurance is simply to pay you when you are unable to bring home a paycheck . While Disability Insurance itself is a very straightforward product , there are many features and riders to DI that perform different functions . E.g. Having the `` own occupation '' feature will enable you to receive payments if you can not work at your OWN job . Without it , you may be ineligible for benefits as long as you can work at ANY job . So when you got to buy Disability Insurance , do use a professional who can help you get the policy that performs best for your needs . "
Does Disability Insurance Cover Death? ,"Some Disability Insurance policies will pay a survivor benefit if the insured person dies . This can go to a surviving spouse or children . Certain conditions must be met for this benefit go kick in . However , Disability Insurance is primarily designed to make payments to the insured person while they are still alive , but disabled . Life Insurance is what covers death . "
Is Health Insurance The Same As Medical Insurance? ,"Yes . Medical insurance is simply another name for health insurance - commonly seen in articles , referenced in discussions , and other times these names are mentioned . I hope the input is helpful - please feel free to contact me for help and if you have any other questions . Thanks very much . "
Will Homeowners Insurance Cover A Broken Window? ,"Yes , unless it is specifically excluded . What I mean by this is homeowners coverage applies to the house as a whole and will only indemnify you if a covered peril occurs . However , you really need to look at your deductible before you file a claim . If the cost of replacing the window is less than your deductible , then you should just pay for it out of pocket . In summary , start with the cost of your deductible versus the cost of replacing the window . If it is worth it to make a claim then make sure windows are not specifically excluded . "
Can Deferred Annuities Be Surrendered? ,"Any annuity can be surrendered . The question is at what cost , if any , will the surrender trigger a surrender charge , a taxable event or a pre age 59 penalty . And if the annuity is in a qualified plan , there may be other exit costs associated with the surrender of the policy . "
Why Would You Purchase Life Insurance Rather Than Annuities? ,They meet different needs . It depends on your needs . For pennies on the dollar life insurance insures against not living long enough while annuities insure against living too long . Life insurance provides a normally income tax-free death benefit that can replace lost income while an annuity death benefit is subject to income tax . 
What Kind Of Homeowners Insurance Do I Need? ,"In general , a comprehensive `` all risk '' Homeowners Policy will provide the broadest coverage . I would suggest that there are certain key elements to look for when comparing proposals . Check the dwelling amount . Is it accurately reflecting current reconstruction costs in your area ? Look for a `` Replacement Guarantee '' for both your home and personal belongings to make sure that if you do suffer a loss , there wo n't be any costly gaps in coverage . Take a look at the deductible . These days most folks in my area have a $ 1000 deductible in order to control premium . Make sure you are getting the right credits . If you have a central alarm system , that will earn a discount . Some companies offer discounts for a new roof and upgrades in electrical , plumbing and HVAC systems.Finally , look for a good amount of Liability Protection , usually $ 300,000 . Keep in mind that a Homeowners POlicy does NOT provide coverage for Flood.Every home is in a flood risk area , it just depends upon the level of risk . You will need to look for a Flood Insurance policy to protect you.Ask your Insurance Professional . "
What Is The Best Medicare Supplemental Insurance Plan? ,"The best Medicare supplemental insurance plan in your state is one that matches your needs and budget . Medigap insurance rates vary considerably by zip code , age , tobacco use and plan . The older you are the higher your Medicare supplement rate will be . The exception is for those who are under age 65 and on disability and Medicare . In most states rates for under age 65 are astronomical . Many carriers offer competitive rates from age 65 to 74 . Above age 74 some plans -LRB- surprisingly -RRB- become more competitive while others less so . Tobacco use often adds 20 % to the rate but can be more , depending on the carrier . Plan F is the most expensive -LRB- and most popular -RRB- followed by D or G -LRB- depending on your state -RRB- , N then Hi F which is the least expensive . You can generally find a site that offers `` instant Medigap quotes '' but keep in mind the most competitive rates are usually not illustrated online . #GeorgiaMedigapPlanRates #GeorgiaMedicarePlans #GaMedigapQuotes "
Will Health Insurance Pay For A Nose Job? ,"Only if it is deemed a medical necessity , and even then the insurer may require a second opinion . Health insurance will not cover a noise job that is being preformed for cosmetic reasons alone . If the noise job were to correct a breathing problem such as a severely deviated septum that resulted in potentially serious complications such as sleep apnea then it would be a qualified medical expense . Also if the nose job was a reconstructive procedure following a serious accident that seriously damaged a individuals face then again yes . "
Can You Have More Than One Life Insurance Policies? ,"Yes , you can have two or more policies , as long as you qualify financially for the total amount of coverage . Some mixed families take out two policies , rather than have their biological children and stepchildren have to split the same policy proceeds . Or , they take two policies so their divorced spouse has a different policy than their current spouse . Those who own business policies may need to keep them separate from personal policies for tax reasons . Sometimes having two policies is better than one , because the death benefit will be covering two completely different types of needs . E.g. . You might want a small policy to cover your funeral expenses , which would necessitate some type of permanent insurance . But you might also want a larger policy to pay off your mortgage , and 10 year Term -LRB- which usually costs much less than Whole or Universal Life -RRB- may be a much more economical choice for that particular need . "
How Much Does A Whole Life Insurance Policy Typically Cost? ,"The simple answer to this question is : It Depends . :-RRB- It depends on a variety of factors , including : How much death benefit you would like . Your health status . Your age . The company you would buy it from . The features you would elect inside the policy . There are several types of Life Insurance coverage for a person to choose from , each with its own features and own purpose . In general , for a stated amount of death benefit coverage , monthly or annual premiums for a Whole Life policy are higher than a Term Life policy , but it would be faulty to compare those types of policies just based on monthly premium . Do n't make the mistake of comparing those types of policies just based on monthly premium . Speak with a knowledgeable professional about your goals and how life insurance may fit in so that you can make the best decision for your situation . "
How Do You Qualify For Term Life Insurance? ,All life insurance policies require some underwriting information . It could be as simple as a couple of question to as complex as medical tests . The purpose of the medical information is to determine if you fall within the range of health that was anticipated by the actuary when the standard insurance premium was determined . Of course the companies are much more cautious when large amounts of insurance are involved . 
Can A Life Insurance Claim Be Denied? ,"If a policy has been applied for honestly and issued according to best underwriting practices , then this is probably not a possibility . There are circumstances , however , that could cause a denial . Policies are commonly issued with a `` contestability period '' which is usually 2 years from the date of issue . Simply stated , if an applicant willfully misleads , misrepresents or deliberately withholds material information from an insurance company during the application and underwriting process , then if that person dies during the contestability period , it is possible for a company to deny benefits . "
Can Disability Insurance Be A Business Expense? ,"The answer is yes , no and maybe . Yes , it can be tax deductible if the business owner purchases a Business Overhead Expense policy or BOE . This policy is specifically designed to pay bills and payroll not the owner direct . For this reason a BOE policy is tax deductible . On a straight disability income policy yes you can set it up with the help of your accountant to have the business pay the premiums . In most cases you do n't really want to do it that way . If you pay premiums with post tax dollars then benefits are tax free . If you pay premiums through the business then your benefits would be taxed as income . Think of it as do you want to pay taxes on the seeds or the harvest ? The premiums are much smaller in comparison to the benefits received there for a lot less tax will be paid . "
Why Should You Have Disability Insurance? ,"You will need disability insurance to protect your most valuable asset , your ability to earn a living . Unless you are independently wealthy with a residual income and no debt , chances are you need disability insurance . Disability insurance replaces the income lost due to an unforeseen injury or illness preventing you from being able to work at your current occupation . "
How Much Extra Is Business Car Insurance? ,"This depends upon what you mean by `` Business Car Insurance . '' If you are asking about insuring an automobile with a business auto policy , those are typically more expensive than a personal auto policy . If you are asking about insuring a company car , then that should be handled by the business providing you the automobile . The company should look into endorsements covering other drivers , in case your family members living in the house use your company car . If you are asking how much it costs to insure a company car on your personal auto policy this is not really an option because you do not have a valid insurable interest in the car . What I mean by this is the company owns the car and is getting a benefit from letting you use it , so your only interest is not paying for a car , which is not an insurable interest on your part . I hope this helps ! "
How Much Is Geico Life Insurance? ,"Geico life insurance is written through non-affiliated life insurance companies and is secured through Geico Insurance Agency , Inc. . Therefore , Geico offers life insurance from a number of different life insurance companies at a variety of prices . You can get free life insurance quotes from any number of websites . By choosing one that gives `` instant '' quotes you will get your rates without having to talk to anyone . "
Why Fixed Annuities Are Good? ,Annuities can be an extremely useful retirement tool . However they are often sold inappropriately . Fixed annuities arewell suited for providing a predictable income stream overan extended period of time.Every case is going to be different . A fixed annuity in combination with social security and otherinvestments can provide a balanced approach to retirement planning.Before you buy any high dollar insurance or annuities you should consult with your advisors . 
How Much Should I Get For Renters Insurance? ,"That 's an interesting question - do you mean how much coverage do you need to purchase to ensure the value of your belongings are covered adequately , or how much should the policy have paid out to you after your claim was processed ? In the case of coverage , you would need to have an idea of how much value there is to be insured . For example , do you have a lot of electronics , or jewelry ? If so , you would need more coverage than someone who has very few of those things . If you meant how much should you have received , that depends on a lot of things specific to your policy and claim . If you would like more information , I 'd be happy to help , just contact me . Thanks for asking ! "
Who Offers Annuities? ,"There are many financial institutions and insurance companies that offer this sort of product . If you have a local agent for you home and auto coverage , call them . Your local agent may handle annuities currently and they will be able show you the pros and cons of what he would have available and if he/she does not handle these they may be able to refer you to someone that does . "
What Percentage Do Annuities Pay? ,Non-qualified deferred fixed interest rate annuities are paying an average of 2.75 % for five years guaranteed and 3.00 % for ten years . The spread between the two annuity rates is 25 basis points for twice the spread in time . Most advisers would not recommend locking down the ten years rate for an extra 25 basis points . 
When Does A Life Insurance Policy Become Effective? ,"The timing of life insurance becoming effective depends on a few things . If you apply for life insurance and submit the minimum initial premium with the application , the company 's `` conditional receipt '' will determine when the coverage begins . Each company 's terms will be a little different . If you applied for the insurance without submitting any premium , the coverage usually would n't begin until after the application is approved and you submit the initial premium . "
How Can I File A Complaint Against An Auto Insurance Company In Illinois? ,"Yes you can , all you need to do is contact the state department of insurance -LRB- also known as the insurance commissioners office -RRB- . If you are an IL resident , you can file your complain with the IL department of insurance . If you are not an IL resident , you would generally file the complaint with your state 's department of insurance . If this is insurance you own , then the insurer is permitted to do business in your state and is bound by your state 's insurance laws , and your states department of insurance will help inforce the state 's laws . "
What Is The Difference Between Whole Life And Variable Life Insurance? ,the simplest way to think about it is that variable life policy 's allow you to chose how much your premium payment will be and where the money will be invested . on the other have a whole life policy will have a fixed premium and a fixed interest rate . there are pros and cons to explore with each type of policy . I hope that helps . . 
Is It Possible To Buy Cheaper Health Insurance Than My Company Offers? ,"Yes , it is possible , but you should really work the math out on the situation first . A person has the right to waive coverage from an employer if they wish and seek other coverage on their own . But you should also be aware that you may be giving up advantages that belonging to your employer 's group will bring . First , they may be paying all or some of costs for you . If you were to waive coverage , you may very well be leaving that money behind . Even if you employer gave you the money , you would pay income taxes on it , when currently you do n't . You may also have your contributions for health insurance at work be taken before income taxes are applied , which also saves you money and is n't available for the individual buying their own plan . In most states right now plan designs for individual coverage offer much less in the way of plan benefits . Group plans usually offer a good blend of benefits compared to individual plans . It will come down to what you want for benefits . It can be cheaper to buy your own coverage , but usually not apple to apple when you pencil it out . . "
How Quickly Can I Get Auto Insurance? ,"The process of getting a quote on auto insurance is brief . To turn the quote into a policy takes a little more time but the whole transaction can be done in less than 20 minutes . In many cases all you need is your name , birthdate and address . The insurance company can often detect the description of every car in your household and the names and drivers information on ever resident . Retrieving MVRs and losses is also quite mechanized now . "
Is Life Insurance Federally Taxable? ,Life insurance proceeds are generally paid to the policy 's beneficiaries tax free . But proceeds that are left in the estate of the beneficiaries could be subject to estate taxation on the federal and state level if the total assets -LRB- including the life insurance -RRB- exceed the unified credit or state exemptions . 
When Should I Drop Life Insurance? ,"It ultimately depends on your personal situation , but there will always be a need to have life insurance coverage -LRB- such as income replacement for your spouse , burial expenses , fees for the handling of your estate , leaving a legacy to your loved ones , etc. - using life insurance to provide income for your spouse after you die is a major need for coverage that is often overlooked -RRB- . You may simply need to change the amount of total coverage you have in force as your needs change , but you will most likely need to have some level of coverage in force forever . The most common type of life insurance that gets dropped is term insurance . The reason usually being that the term period on the policy is expiring/has expired and the premiums start increasing . When this happens , people usually buy a new policy to replace the old term policy to save money on their premiums . If you 're unsure about what to do for your specific circumstances , speak with an experienced broker who can help you determine the best course of action for your specific needs . I hope the information is helpful - please feel free to contact me for further assistance and if you have any other questions . Thanks very much . "
Does Renters Insurance Cover Water Damage? ,"The fundamental question about water damage is the source of the water . If the water is entering the unit as the result of flood , the renters policy excludes coverage . If the water is entering the unit because of a burst pipe in the wall , the renters policy will cover . There is a special situation that needs clarification , sewer backup . If the water is coming into the unit through the sewer it is usually excluded , however , coverage can be purchased for a nominal price . "
Does Home Insurance Cover Septic System? ,"Sometimes . It really depends upon the terms of your insurance contract . If a covered peril occurs -LRB- e.g. explosion -RRB- and it damages your septic system or a pipe leading into your home from the sewer that could be covered . In this instance you will have to peruse your policy for a specific exclusion to septic/sewer damage to see if your claim will be denied . If your septic system just stops working , however , there is no coverage for this . Normal wear and tear or just age is not a covered peril . That could be a warranty claim against the manufacturer . I hope this helps . "
What Happens If I Die Without Life Insurance? ,"There are three basic people groups that may suffer economic loss at your demise based on your financial liabilities , future obligations and charitable organizations that depend on your contributions : family members , business partners and non profit organizations . Those three people groups constitute your potential beneficiaries . Purchasing life insurance is a stewardship issue of the highest financial commitment . "
How To Contest A Life Insurance Beneficiary? ,Traditionally one can not contest the beneficiary of a life insurance contract . The beneficiary designation is chosen by the contract owner and can only be changed by the contract owner . The contract is a private arrangement between the insured and the insurance company and the chosen beneficiary is up to the owner . 
Does Allstate Have Health Insurance? ,"Allstate does not underwrite and issue health insurance under their own brand . It is quite possible in your state that they have a marketing arrangement with a health insurance carrier that will actually underwrite , issue , collect premiums and pay claims . Your Allstate agent may or may not be well versed in health insurance options . You should always consider using an independent agent that specializes in health insurance plans . "
Does Term Life Insurance Require A Medical Exam? ,"It depends on the carrier , your age , and the amount of insurance . There are some carriers that require exams and others that just ask a handful of medical questions . In many cases , the less questions asked , the higher the premium is for the same coverage . In most cases , if the coverage is more than $ 250,000 of coverage , you WILL need an exam . "
Which Employer Has The Best Retirement Plan? ,"There are many employer sponsored defined contribution plans available for companies to choose . But from the point of view of the employee , 401 -LRB- k -RRB- plans with employer matching contributions to 6 % of your salary base is excellent . When considering a job , consider the employer match , it 's free money and can make a difference later in retirement . "
Does Drug Use Void Life Insurance? ,"Outside of the application process , no in most cases , unless other wise specified within the policy . If a person passes from drug related issues after purchasing a policy , the company will pay ... Unless , there is a recorded history of drug use prior to the application and the applicant does not disclose this during the underwriting process . After two years this may be a moot point as the contestability clause would prevent the insurance company from refusing to pay . However , not all states have adopted this clause . The clause could be shorter or depending on the state , not applicable at all in cases of insurance fraud . "
What Is The Best Health Insurance In Germany? ,"In 2007 , health insurance reform legislation -LRB- No ... Not Obamacare ! -RRB- was passed in Germany . It is now the law that citizens must obtain basic hospitalization coverage along with several other benefits including outpatient care . Maternity is one of the `` essential benefits '' also required . In early 2015 , more reform legislation was passed to reduce consumer costs . So . . back to your question ... You can purchase government-provided coverage -LRB- GKV -RRB- or buy a plan from a private insurer -LRB- PKV -RRB- . You can also elect a hybrid combination of both . If you have a high household income , private coverage is the likely result . Owning your personal plan will allow you to better customize the benefits you want . For example , you may not need a low deductible if you have no health issues . Or , if you take an expensive medication , you can choose a plan with lower drug out-of-pocket expenses . "
How Can Annuities Be Used For Retirement? ,"Annuities are used for retirement as a source of regular income . Your annuity is tax deferred until you take out payments . The contributions you put into an annuity are not taxed , and the earnings are taxed at your tax rate during retirement . Therefore , they can be a tax favorable way of earning supplemental income during retirement . If you take out an immediate annuity , you contribute a lump sum and can begin to take out regular payments nearly immediately . A deferred annuity allows you to make payments into it over a number of years , then annuitize the annuity to receive regular payments . These payments are generally used to add to Social Security benefits and other income during retirement . Variable annuities make your annuity more of an investment , with the risks that come with variable products . Indexed annuities also allow for more growth but protect the original contribution . "
What Is The Best Way To Shop For Cheap Life Insurance Rates? ,"There are many different opinions and options for this question . You can go to one of the many quote sites that will give you an idea of cost , however life insurance is one of those subjects wihich many people think they understand well , but do n't . Find an agent that you trust , either from a friend or through your own research . A good agent will give you options to consider that you may be unaware of , and you can benefit from that expertise without cost . "
When Should I Get Term Life Insurance? ,"This really depends on your specific situation . However , term insurance cost the least amount when you are young and healthy . Another factor to consider is that generally , the older you get , the more health problems you accumulate . Many clients have health concerns that will not allow them to purchase insurance . Unfortunately , when many clients encounter health issues in their lives it causes them to consider purchasing life insurance . Depending on their specific health situation , they might get coverage but usually at a higher rating . "
Does Whole Life Insurance Have Cash Value? ,"Whole life insurance can accumulate cash values . Participating whole life can accumulate additional cash values if thepolicyis designed with amaximumterm rider and a paid up additions rider . This tactic could be part of a long termstrategyfor savers.Dividendsup to basis can be withdrawn tax free and policy gains through policy loans . Keep in mind that policy loans charge use a spread loan interest rate and afewcompanies use a more expensive , direct recognition policy loans . The big caveat here is that the policy must be kept in force for the life of the insured . If the policy was surrendered , all gain in the policy via loans , distributed and internal , would be subject to ordinary income tax . "
Does Homeowners Insurance Cover Wind Damage? ,"Homeowners insurance comes in different forms ; in most States , if you have a Form HO3 -LRB- Special Form -RRB- or a Form HO5 -LRB- Comprehensive Form -RRB- , Wind damage is covered to your dwelling , other structures and personal property . If you have incurred damage as a result of wind , it is important to protect the structure from further damage immediately and file a claim with your insurance carrier . If you are not sure whether to file a claim and need advice , you should contact your insurance agent and discuss the options , size of the claim and prior claims activity that you may have had within 5 years . The policy deductible will apply to the claim , in many States , you will have a separate Wind deductible which may be expressed in the form of a percentage of the coverage section being claimed against . For a homeowners insurance quote , you may click here : WEBSITELINK "
How Long Have Annuities Been Around For? ,"Shockingly , a type of annuity was discovered in Egypt in 1700 BC . In 562 BC there is a passage in the Bible referring to a form of annuity . By the second century Roman soldiers were given a life annuity for service to the empire . For the next millennium , churches and monasteries used life annuities . In 1693 , Sir Edmund Halley , created the first mortality tables based on age for life annuities , the basic acturial science we use today . Nothings new under the sun . "
What Is Auto Physical Damage Insurance? ,"There are two elements of coverage provided by physical damage . The collision element will pay for damage to you vehicle involving an accident with any object that a normal human being can not pick up and move , except Superman , Hulk and Iron Man -LRB- if he has fuel -RRB- -RRB- : A strong farmer , like my grandpa , could move a dead deer , dog , cow , horse or bird so therefor he would collect under the fist element of coverage call comprenshive . comphrensive is the really good stuff for it has been broadened to cover almost any risk of loss except collision with objects . Comp , as we in the profession call it , provides all risk -LRB- any type of loss -RRB- except war and maybe nuclear attack ... oh do n't forget the felony exclusion thingy , it will bite you in the butt . "
Can You Get The Cash Value Of A Life Insurance Policy? ,"Yes , you can get an illustration to show how much cash value is in your life insurance , by simply asking the company through which your policy is issued . Or , if you want to spend the cash value , you can take out a loan from your policy , or cash the policy in . If you take a loan against it and then pay it back with interest , you will maintain the death benefit of the policy . If you cash it in , or surrender the policy , you will not longer have any death benefit protection . "
Can I Ride A Snowmobile Without Insurance? ,"It depends on your State 's requirements for carrying liability insurance for snowmobile operations . Some require it and others do not . Check that out first , if you are really willing to drive one , without covering yourself for liability exposure . Check out the terms and circumstances where coverage is required . Regardless of whether or not your State requires it and under what circumstances ... for example , in NY , you may only need coverage if you are riding on public property ... you would be wise to check with several local insurance agencies , to determine the cost of obtaining snowmobile liability insurance . You might find that it is well worth the cost , to cover yourself for damages caused to others . Otherwise , you could be putting your assets at significant risk . Snowmobile accidents can be very nasty and very costly to you if you injure another person or persons and/or their property . "
How To Show Proof Of Renters Insurance? ,"Showing proof of renter 's insurance is fairly easy . You simply ask for a copy of your declarations page -LRB- often used for car insurance -RRB- , whichstates your coverages , effective date and otherpertinentinformation . It is possible that the owner of the building that you are renting -LRB- or apartment -RRB- willwantto see proof of coverage . "
Do I Need Insurance In Addition To Medicare? ,"No you do not need a medicare supplement or medicare advantage plan . That said , your life will be much easier to deal with medically if you do have the above mentioned plans . As Bob mentioned an unlimited 20 % hole in your coverage has the potential to put you on the street . Also , many medical offices are not accepting patients with just medicare anymore as they are being asked to take a financial hit with each medicare patient as medicare does not pay full cost of care for services received . Medicare is a deep discounted program and for many practices the idea of not getting some relief from payments from the other insurance plans just does n't work for them . "
Does Medicaid Take Your Life Insurance? ,"Medicaid does n't actually `` take '' your life insurance . You just ca n't qualify for Medicaid assistance if you have more countable assets than Medicaid allows . In most states $ 2,000 is the total allowed to qualify for Medicaid assistance . Checking and savings accounts , retirement money , cash value of life insurance , etc. all count against you when qualifying for Medicaid . Many people will cash surrender their life insurance to qualify for Medicaid . You can also irrevocably assign it to your funeral home and it will be exempt but must be all used for funeral expenses if you do that . An actual funeral preplan life insurance policy that you purchase from a funeral home is always exempt from Medicaid . "
Can Life Insurance Companies Go Bankrupt? ,In California insurers are required to participate in a fund that acts to keep all the contractual promises made to customers of insurance companies . Each company is assessed to cover the losses when a company gets into financial difficulties . The company itself may leave the market but the individual policies will be picked up by another company in a way that is seamless to the consumer . Sometimes the company remains but the management is changed . 
Does An HIV Test Affect Life Insurance? ,"I specialize in HIV Life Insurance and most of the people I have spoken to think it is always better to be tested anonymously when you get tested because if you test positive then the chances are it will end up in your MIB file forever . As far as a HIV test for Life Insurance if you know your positive then do n't waste your time on a company you know tests for HIV . It is not a requirement for every company . I actually offer a Group Life Insurance policy through a membership that comes with $ 10,000 in life insurance and you can buy-up to $ 100,000 in $ 10,000 increments . It is very affordable and the only requirement is that you work 30 hours or more a week and live in the USA and not in AK , MT , SD , UT VT , or WA CONTACT me for more info "
